求人年度,求人番号,受付安定所,事業所番号,インターネットへの公開,事業所名 カナ,事業所名,郵便番号（所在地）,住所（所在地）,アクセス（所在地）,代表者名,法人番号,ホームページ,従業員数（企業全体）,従業員数（就業場所）,設立,資本金,事業内容,会社の特長,雇用形態,職種,仕事の内容,郵便番号（就業場所）,住所（就業場所）,アクセス（就業場所）,求人数（通勤）,求人数（住込）,求人数（不問）,必要な知識・技能等,転勤の可能性,入居可能住宅（単身用）,入居可能住宅（世帯用）,基本給,月給（基本給+手当+残業代）,賞与有無（新卒）,休日等,年間休日数,複数応募の受け入れ,複数応募開始の日程,職場見学の受け入れ,職場見学の日程,課係名・役職名（担当者）,氏名（担当者）,氏名カナ（担当者）,電話番号（担当者）,FAX（担当者）,Eメール（担当者）,補足事項,特記事項,産業分類,職業分類（3桁）,職業分類（5桁）,職業分類2（3桁）,職業分類2（5桁）,就業場所住所（市区町村）,就業場所住所2（市区町村）,就業場所住所3（市区町村）,管理番号,対象学科,エリア,卒業生の入社実績,その他の分類,募集人数,来校の有無,二次募集の有無,職場見学人数,応募人数,入社人数,備考,申送り事項,公開日時,最終更新日時,登録方法,元ファイル名,職業分類（ハローワーク）大分類,職業分類（ハローワーク）中分類,職業分類（ハローワーク）小分類,職業分類（handy）大分類,職業分類（handy）中分類,職業分類2（ハローワーク）大分類,職業分類2（ハローワーク）中分類,職業分類2（ハローワーク）小分類,職業分類2（handy）大分類,職業分類2（handy）中分類,お気に入り登録数
2025,33030-557459,倉敷中央公共職業安定所,3303-617388-0,可,オオハラコウギョウ カブシキガイシャ,大原工業 株式会社,712-8052,岡山県倉敷市松江 1-14-1,水島臨海鉄道 水島駅 から 徒歩32分,"代表取締役社長
大原 拓治",8260002024575,http://www.oohara-kougyou.jp,8,8,平成18年,"1,000万円",官民を問わず各種設備等の配管を、自社工場での製作から現地にお ける取り付けまでを一貫して行っています。建設工事、メンテナン ス等の需要による出張工事にも全国区で対応しています。,僅か3名のメンバーで創業してから25年が経ち、現在では上場企 業のお客様からも直接お仕事を頂けるまでに成長して参りました。 まだまだ成長途中、新たなメンバーの力を求めています。,正社員,"配管の製作·取付工事に対する管理·監督者
(プラント建設業における配管工事)","【日常業務:主に、事務所内】 施工計画の下、各種資料を活用し製作作業の現状把握と進捗管理を行います。 製作中の諸問題について、確認作業とその対応をしていただきます。 協力会社への指示や各種段取り、資材発注なども担当していただきます。
【取付時:現地作業場】 作業班へ指示を伝え、陣頭指揮をとる立場になります。 安全管理、品質管理などにも注力し、施工計画を完工へ導きます。 *変更範囲:変更なし",712-8052,岡山県倉敷市松江1-14-1,水島臨海鉄道 水島駅 から 徒歩32分,2,0,1,"必須
普通自動車運転免許  (AT限定可·取得見込でもOKです。) ",なし,あり,なし,200000,200000,あり,土日 その他,120,可,令和7年11月1日以降,可,随時,総務課,山本 真矢,ヤマモト シンヤ,086-441-2284,086-441-2294,yamamoto@oohara-kougyou.jp,"·質の高い人材確保及び活用を図る観点から、 『女性の力』も積極的に活用するため、女性社員の採用の拡大に 目を向けて職場の改善及び既存社員の意識改革を行っています。 ⇒女子トイレの設置、育児·介護休業規定等の採用等
·当社には性別に関わらず、意欲と能力に応じて 全ての社員一人ひとりが仕事に『誇り』と『やりがい』をもって 活躍できる幅広いフィールド (業務内容) があります。","·入社後は職種に応じて、 様々な研修に参加して経験を積んでいきます。 ·会社と仕事に少しづつ慣れて頂ける様、各種教育·技術的指導 資格取得等のサポートを行っています。 ·賞与は一年に2回と、決算賞与あり。  (会社業績による) 
·育児、介護休暇の取得実績あり。  (家庭と仕事の両立) 
·高校既卒者の応募可  (卒業後概ね5年以内、中退者の応募可) 
·出張工事あり  (出張手当:2,000/日、食事手当:1,500/日) 
·入社日:令和8年4月1日 ·試用期間有り (3ヶ月·同条件) ",083,008,008-02,008,008-03,岡山県倉敷市,,,門方怀988-2,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-5.pdf,研究・技術の職業,建築・土木・測量技術者,建築施工管理技術者,建設/建築/土木に関わる,その他(建設/建築/土木に関わる),研究・技術の職業,建築・土木・測量技術者,建築技術者（設計・施工管理を除く）,建設/建築/土木に関わる,その他(建設/建築/土木に関わる),0
2025,26020-459459,京都七条公共職業安定所,2602-63165-6,可,カブシキガイシャ オクタニグミ,株式会社 奥谷組,601-8308,京都府京都市南区吉祥院向田東町8,JR 西大路駅 から 徒歩15分,"代表取締役
千田 真由美",9130001010209,https://www.okutanigumi.jp,59,59,明治6年,"5,000万円",神社仏閣建築の設計施工,"する。何百年と長く残る建物が中心なので、よりよい仕事を後世に
残していく様重点を置いている。
原木の製材より現寸引き·加工·取付等一貫した木工直営を特色と",正社員,堂宮大工,"神社仏閣建築工事に伴う堂宮大工工事を行います。
神社仏閣の新築工事や国宝·重要文化財などの解体修理·修復など200年· 300年と永く残る建築物の施工を行います。
京都の工場にて加工 (原寸作成→木造り→墨付け→刻み→仕上げ) し、全国各 地の現場にて建方を行います。
※設備:大型ランニングプレーナー·自動プレーナー4台·油圧角ノミ大型 1台·ホイスト7台·製材帯鋸機2台·その他各種機械
変更範囲:変更なし",601-8308,京都府京都市南区吉祥院向田東町8,JR 西大路駅 から 徒歩15分,0,0,4,必須 建築科,なし,あり,なし,207360,207360,あり,日祝 その他,105,不可,,可,隨時,総務部,千田 飄紗子,センダ リサコ,075-313-6533,075-312-8417,,"<事業内容>
神社仏閣建築 (設計·施工) の新築及び国宝·重要文化財などの解 体修理·修復など、200年·300年と永く残る建築物の設計· 施工を行う。
 (令和6年施工例:北野天満宮· 教王護国寺 (東寺)  · 東本願寺 · 西本願寺 · 下鴨神社 · 上賀茂神社 · 廣徳院 · 知恩院等) 
※最大付与有給休暇日数:20日","※マイカー·バイク·自転車通勤:可·駐車場有·無料 ※入居可能住宅:1人 (7置) ·勤務先まで1分 ·無料 ※食費補助あり
※体力測定:握力·反復横跳び·前屈·上体おこし ※月額概算=日給9,600円×21. 6日分で計算しています。
※職場見学を希望される場合は、隨時個別に対応致しますので、ご 連絡下さい。ただし応募前の職場見学は必須条件ではありません。 ※面接後選考結果通知までの日数に土日祝は含みません。 ※作文タイトル:選考日にお知らせします。
※賃金から控除する額33,657円 手取額173,703円",065,,,,,京都府京都市南区,,,987-2,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-3.pdf,,,,,,,,,,,0
2025,26020-460659,京都七条公共職業安定所,2602-63165-6,可,カブシキガイシャ オクタニグミ,株式会社 奥谷組,601-8308,京都府京都市南区吉祥院向田東町8,JR 西大路駅 から 徒歩15分,"代表取締役
千田 真由美",9130001010209,https://www.okutanigumi.jp,59,59,明治6年,"5,000万円",神社仏閣建築の設計施工,原木の製材より現寸引き·加工·取付等一貫した木工直営を特色と する。何百年と長く残る建物が中心なので、よりよい仕事を後世に 残していく様重点を置いている。,正社員,建築技術者(施工管理·設計),"神社仏閣の設計もしくは施工管理を行います。 神社仏閣建築の新築工事や国宝·重要文化財などの解体修理·修復など、20 0年·300年と永く残る建築物の設計·施工を行います。 【設計]は、建物の設計や工事監理などを担当します。
【施工管理】は、現場を監督し、人·労力·方法·機械·資材·資金等の施工
手段を選定、施工計画を立て、適切な品質の施工の為に、品質·工程·現場· 安全管理を担当します。 どちらも入社後は、新人研修後、配属、各業務を先輩社員の指導のもと行いま す。 変更範囲:変更なし",601-8308,京都府京都市南区吉祥院向田東町8,JR 西大路駅 から 徒歩15分,0,0,2,"必須
建築科",なし,あり,なし,225000,225000,あり,日祝 その他,105,不可,,可,随時,総務部,千田 麗紗子,センダ リサコ,075-313-6533,075-312-8417,,"<手当> 通勤手当、住宅手当、資格手当他 <事業内容> 神社仏閣建築 (設計·施工) の新築及び国宝·重要文化財などの解 体修理·修復など、200年·300年と永く残る建築物の設計· 施工を行う。
 (令和6年施工例:北野天満宮 ·教王護国寺 (東寺)  · 東本願寺 · 西本願寺 · 下鴨神社·上賀茂神社 · 廣德院 · 知恩院等)  ※最大付与有給休暇日数:20日","※マイカー·バイク·自転車通勤:可·駐車場有·無料 ※入居可能住宅:1人 (7畳) ·勤務先まで1分 ·無料 ※食費補助あり ※体力測定:握力·反復横跳び·前屈·上体おこし ※エクセル·ワード等の基本的なソフト及びCADを使用します。 ※戦場見学を希望される場合は、随時個別に対応致しますので、ご 連絡下さい。ただし応募前の職場見学は必須条件ではありません。 ※面接後選考結果通知までの日数に土日祝は含みません。 ※作文タイトル:選考日にお知らせします。 ※賃金から控除する額37,105円 手取額187,895円",065,008,008-01,008,008-02,京都府京都市南区,,,987-1,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-2.pdf,研究・技術の職業,建築・土木・測量技術者,建築設計技術者,建設/建築/土木に関わる,その他(建設/建築/土木に関わる),研究・技術の職業,建築・土木・測量技術者,建築施工管理技術者,建設/建築/土木に関わる,その他(建設/建築/土木に関わる),0
2025,13080-945159,新宿公共職業安定所,1308-305208-5,可,カブシキガイシャ マルケンコウギョウ,株式会社 丸建興業,167-0022,東京都杉並区下井草3丁目2-1,西武新宿線·下井草駅 から 徒歩10分,"代表取締役社長
菅原 敬介",6011301006745,http://www.maruken-kougyou.co.jp,40,33,昭和43年,1億円,基礎工事 (杭引抜工事、地中障害撤去工事、山留杭打抜工事)  建設機械 (移動式クレーン·基礎機械·油圧ショベル等)  を使用 して施工を行う専門工事会社です。,挑戦を楽しもう!私たちは「本気」の人を求めています。設立56 年が経過し、若い社員もますます増えてきました。社員のやりがい と笑顔を大切に、未来への挑戦を楽しめる会社を目指しています。,正社員,【技術職】建物の基盤になる杭を抜くお仕事,"【安全で確実な工事力でお客様に『満足』していただき『感謝』される会社】 弊社は創業57年の建築·土木における基礎工事の専門工事会社です。 <重機オペレーター>
杭打機、杭抜機、移動式クレーン、油圧ショベル等の大型重機の運転 <施エスタッフ>
重機誘導合図、クレーンの玉掛等の現場作業への従事
<建設機械整備スタッフ>
建設機械 (移動式クレーン、油圧ショベル、基礎機械) 等のメンテナンス業務
及び管理業務
変更範囲:なし",167-0022,東京都杉並区下井草3丁目2-1 *国内各現場 (主に関東近郊)  【HP参照】,西武新宿線:下井草駅 から 徒歩10分,3,2,0,"あれば尚可
· 普通自動車免許
· 準中型免許",なし,あり,なし,170000,253000,あり,日祝 その他,110,可,令和7年10月1日以降,可,随時,人事採用担当,有山 淳二,アリヤマ ジュンジ,03-3395-3261,03-3395-3594,info-maruken@maruken-kougyou.co.jp,"玉掛や合図、誘導が最初のお仕事。資格取得後、油圧ショベルの操 縦、さらに適正に応じて重機オペレーターにも挑戦可能です! *選考は面接1回
·既卒中退者の応募:可 3年以内 同一労働条件 書類:履歴書 *選考旅費 弊社規定に図り支給 *遠方の場合出張選考も実施 *職場見学·重機操作体験も随時実施中 く社内レクリエーション> *設立50周年記念旅行はハワイへ
*夏季BBQ大会、ボーリング大会等社内レクリエーションも充実 *お気軽にご相談ください!",適性を考慮した資格取得支援制度あり (取得費用は会社負担)   (例. 移動式クレーン運転士·車両系建設機械運転者·玉掛· ガス·アーク溶接·土木施工管理技士·建築施工管理技士他)  【入社日】令和8年4月1日 【試用期間】3ヶ月 ·初回支給5月25日、申出があれば4月25日に一定額支給可。 ·現場が遠方の場合「出張」、夜間の場合「夜勤」あり。 ·社宅補助制度があり、社内規定による家賃補助があります。 1部屋1人、24平米、勤務先まで3分。 ·昇給は勤務姿勢やスキル等により隨時、3千円~5万円/月。 ※毎年、定期昇給あり。,061,008,008-02,008,008-05,東京都杉並区,,,992-1,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-9.pdf,研究・技術の職業,建築・土木・測量技術者,建築施工管理技術者,建設/建築/土木に関わる,その他(建設/建築/土木に関わる),研究・技術の職業,建築・土木・測量技術者,土木施工管理技術者,建設/建築/土木に関わる,その他(建設/建築/土木に関わる),0
2025,33010-1068259,岡山公共職業安定所,3301-7557-8,可,カブシキガイシャ エリカ,株式会社エリカ,700-0821,岡山県岡山市北区中山下2丁目1-24,,"代表取締役
元井一尋",7260001000909,http://www.orika-net.jp,24,9,昭和59年,"1,000万円",美容室での接客、施術 (ヘアー·メイク)  結婚式場でのブライダル業務,トップスタリストの育成に力を入れ、似合わせやカラー検定など新 しい教育システムを導入。 個人で受ける社外講習費の半額を会社が支援。,正社員,美容師アシスタント,"美容室での接客と施術 キャンペーン等の企画 イベント行事の企画運営
業務変更範囲:なし",704-8191,岡山県岡山市東区西大寺中野367-1 美容室エリカアプロード店,西大寺駅 から 車3分,4,0,0,不問,あり,なし,なし,180000,180000,あり,火 その他,110,可,令和7年11月1日以降,可,随時,代表,元井 一學,セトイ カズヒロ,086-223-5030,086-231-8188,erika-co@erika-net.jp,"*社内研修は、駅前スタジオでのレッスンを含め3年でスタイリス トデビューの教育カリキュラムを用意 *社員旅行等イベントも盛りだくさん! *外部講習の費用を会社が半額支援 *駐車場:有料あり (5,000円/月)  *入社日:令和8年3月21日",*応募前見学は随時行っておりますが、毎週火曜日、日曜日以外で お願いします。 *社会保険など、各種保険も充実して安心して働ける環境を用意し ています。 *結婚後の育児休暇もたくさんの先輩が取得してます。 *結婚後の短時間勤務の正社員制度もあり、安心して長く働ける会 社です。 *美容が好きな人の応募を待っています。 *転勤範囲:岡山市北区中山下2-1-24 ヘアーズアンテナプラス 就業時間の変動あり,783,053,053-02,,,岡山県岡山市東区,,,9週不坏991-1,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-8.pdf,サービスの職業,理容師、美容師、美容関連サービスの職業,美容師,接客/サービスに関わる,ビューティー,,,,,,0
2025,26010-148359,京都西陣公共職業安定所,2601-217326-1,可,カブシキガイシャ ヨコツナ  (ラーメンヨコツナ) ,株式会社 横綱  (ラーメン横綱) ,615-8086,京都府京都市西京区桂乾町11-6,,"代表取締役
河野 和弘",4130001011987,http://www.4527.com,1700,40,昭和47年,"1,000万円",ラーメン専門店「ラーメン横綱」を、京都·大阪·兵庫·和歌山 · 三重·愛知·岐阜·千葉県に41店舗展開しています。,ラーメン業界の中で着実にシェアを伸ばし、関西、東海、関東で確 固たる地位を築いております。,正社員,ラーメン店の店舗スタッフ,新入社員研修を経た後、店舗に配属されます 。※ 店舗では、ラーメン作りを含 む調理全般、基本的な接客マナーや知識を学びます。調理マニュアルや独自の 接客マニュアルがございますので、安心してください 。* 調理·接客の業務全 般を習得した後は、チーフ·副店長として、店長の公休日の店舗運営全般をお 任せします。店舗運営全般には、「アルバイト採用·育成」「仕入れ業務」「 売上·在庫管理」等が含まれ多岐に渡ります 。※ チーフ·副店長として経験を 積んだ後は店長として1店舗の運営全てをお任せすることになります 。※ 応募 前職場見学は随時受け付けます。 (見学は応募の必須条件ではありません)   (変更の範囲:変更なし) ,000-0000,『岸和田店』『平野店』『枚方店』『高槻店』『堺店』『鳳店』 『寝屋川店』『柏原店』『東大阪店』『守口店』『岩出店』『富田 林店』※配属店舗、入社後の異動:通勤圏内で考慮します,,0,0,5,不問,あり,あり,なし,202404,247742,なし,その他,105,可,令和7年10月16日以降,可,随時,人事部 課長,市毛,イチケ,0120-34-4527,075-394-4528,saiyou@4527.com,"*賞与:役職、業績により、社内規定に基づき支給します 。* 昇給  (キャリアアップ) :随時実施しています。記載金額は前年度実績
の平均数字です 。* 所定休日手当:月9時間の休日手当に相当。休
日出勤の有無に関わらず支給。
*控除額40,554円·手取額207,188円
*宿舎:1部屋1人·6畳·勤務先まで5分·宿舎費5,000円
*最大有給日数:20日 *マイカー通勤可:駐車場有 ·無料
*配属先、転勤先:大阪府内·和歌山県の各店舗 *就業場所の 従業員数は全店舗の平均的数値 *応募者数:R6年3月卒13人 R5年3月卒9人 R4年3月卒9人",【エリア内店舗所在地】岩出店以外は大阪府内 『岸和田店』岸和田市『平野店』大阪市平野区『枚方店』枚方市 『高槻店』高槻市『堺店』堺市北区『鳳店』堺市西区 『寝屋川店』寝屋川市『柏原店』柏原市『東大阪店』東大阪市 『守口店』守口市『富田林店』富田林店『岩出店』和歌山県岩出市 ※就業場所の詳細はHP参照 *直近3年の離職率8%  (雇用動向調査調べの飲食業の平均離職率26%)  *昨年度の育児休業取得率100%,761,056,056-03,055,055-08,大阪府岸和田市,大阪府大阪市平野区,大阪府枚方市,"996-1
小",,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-12.pdf,サービスの職業,接客・給仕の職業,ウエイター・ウエイトレス（飲食店ホール係） 、配ぜん人,接客/サービスに関わる,接客,サービスの職業,飲食物調理の職業,調理補助者、調理人見習,接客/サービスに関わる,飲食,0
2025,33010-683559,岡山公共職業安定所,3301-616526-5,可,カブシキガイシャ ティーアールエス セイサンギジュツケンキュウショ,株式会社ティーアールエス生産技術研究所,701-1221,岡山県岡山市北区芳賀5321 岡山リサーチパーク,岡山駅 から 車30分,"代表取締役
橋本 健太郎",3030001067140,https://www.trs-web.co.jp,66,64,平成9年,"3,000万円",医療機器の製造販売。 カテーテル治療のための医療器具 (ガイドワイヤ)  メーカーです。,人体に優しい安全な製品の供給を目指しています。一方、新製品の 開発に力を注ぎ、独創性のある商品の提供に努力しております。,正社員,医療機器(ガイドワイヤ)の製造、検査,"投薬では救えない患者さんに対するカテーテル治療のための医療機器  (ガイドワイヤ) の製造、加工、検査に従事してもらいます。  (1)  研磨:芯材を専用機械にて加工  (2)  コーティング:親水性高分子樹脂のコーティング  (3)  加工:ガイドワイヤの先端加工·末端加工  (4) 検査:ガイドワイヤの外観検査  (5)  包装·梱包:出荷のための包装·梱包
上記記載の業務以外に変更はありません。",701-1221,岡山県岡山市北区芳賀5321 岡山リサーチパーク 岡山生産技術研究所 ※「求人条件にかかる特記事項」参照,岡山駅 から 車30分,3,0,0,不問,なし,なし,なし,187000,187000,あり,日祝 その他,123,可,令和7年11月1日以降,可,随時,所長代理,片山,カタヤマ,086-286-8410,086-286-8411,m.katayama@trs-web.co.jp,"· 繁忙期に2シフトを組むことがあります。 朝番: 8:45~17:30 夕番:16:30~ 1:15 ※深夜の時間帯は割増賃金を別途支給 · 無料駐車場あり
·試用期間3カ月の間は基本給-2万円と扶養手当なし ·通勤手当は、公共交通機関の場合は上限30,000円 マイカー通勤の場合は会社からの直線距離に応じての 支給になります ·選考旅費は公共交通機関利用の場合に限り支給します。",·2020年に稼働を開始した岡山生産技術第2研究所 (岡 山市北区富吉3205) へ勤務していただく可能性がありま す。事業所から徒歩約10分の所にあります。 ·本人の希望により海外にある子会社 (フィリピン) への 勤務も可能です。 ·手当は他に扶養手当があります。  (配偶者、18歳未満の子3人まで)  ·入社予定日令和8年4月1日,274,079,079-02,,,岡山県岡山市北区,,,994.1杯,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-11.pdf,製造・修理・塗装・製図等の職業,機械検査工,電気機械器具検査工,生産/製造に関わる,機械検査,,,,,,0
2025,26010-120859,京都西陣公共職業安定所,2601-217327-4,可,カブシキガイシャ ヨコツナショクヒン,株式会社 横綱食品,615-8086,京都府京都市西京区桂乾町11-6,,"代表取締役
河野 和弘",3130001011988,http://www.4527.com,70,70,昭和62年,"1,000万円",ラーメン横綱及び関連グループ各社で提供されている商品の製造· 研究開発、国内外原料調達及び品質管理業務,働きながら専門資格を取得でき (報奨金制度育り) チャレンジする 人を応援する昇進昇給制度を用意しております。無借金経営であり 平均年齢が若く又やりがいのある楽しい会社を目指しています。,正社員,食品の製造,"ラーメン横綱のスープ·麺·餃子をはじめとする食材の製造加工及び品質管理 や新商品の開発など。具体的には餃子の成形作業やチャーシュー用の豚肉のカ ット~ボイル~味付け。小麦粉からの製麺作業などを順番に覚えていっていた だきます。基本的には機械を使っての作業ですので、将来的には機械の整備な どの知識も身につきます。入社後は研修にてビジネスマナーなどを研修で学ん だ後に、製造部門に配属されます。高校新卒の先輩たちが業務の基本を丁寧に 教えてくれる環境ですので、ご安心ください。
変更範囲:変更なし",601-8203,京都府京都市南区久世築山町460-1 『株式会社 横綱食品』,,0,0,1,不問,なし,あり,なし,184917,225000,なし,その他,105,可,令和7年10月16日以降,可,随時,製造本部 課長,清水,シミズ,0120-34-4527,075-394-4528,saiyou@4527.com,"*賞与は役職·業績により、社内規定に基づき支給します。 *昇給は随時実施しています。 *所定休日手当:月9時間の休日手当に相当する金額 休日出勤の有無に関わらず支給します。
*最寄り交通機関:市バス·久世工業団地前バス停下車 徒歩1分 *マイカー通勤 可 (駐車場 あり·無料)  *入社日2026年4月1日予定","*最大有給日数:20日 *賃金控除額:36,880円·手取額:188,120円 *入居可能住宅:あり 1部屋1人·6畳·勤務先まで徒歩5分 宿舍費5,000円 *応募前職場見学歓迎します  (随時/要事前連絡/応募の必須条件ではありません)  *R4年3月卒、令和5年3月卒は応募者なし *R6年3月卒は高卒応募者数4人 4名採用",099,072,072-06,068,068-01,京都府京都市南区,,,1053-1,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-16.pdf,製造・修理・塗装・製図等の職業,製品製造・加工処理工（食料品等）,他の食料品製造・加工処理工,生産/製造に関わる,製造/加工(食料品),製造・修理・塗装・製図等の職業,生産設備オペレーター（食料品等）,食料品生産設備オペレーター,生産/製造に関わる,機械操作,0
2025,12090-465459,船橋公共職業安定所,1209-617972-9,可,カブシキガイシャ トモケン,株式会社 トモケン,273-0122,千葉県鎌ケ谷市東初富4丁目16-16,京成松戸線 鎌ケ谷大仏駅 から 徒歩10分,"代表取締役
佐野 知孝",3040001028249,https://www.tomo-ken.com,90,90,平成8年,"1,000万円",建築材料を壁や天井に取り付け、建物の内装をします。地図に載る 様な大きな現場での作業になります。,大きな現場ばかりなので、仕事がきれる心配がありません。寮も完 備 (個室) されており、住環境も充実しています。,正社員,内装工事(軽鉄·ボード),"●大きなビル等での内装工事 (軽鉄·ボード) です。
例えばディズニーの関連施設や、みずほ銀行本社ビル、東京駅復元工事等、 都内近郊にある地図に載るような著名な建物が多く、東北 (仙台パルコ等)  や、九州 (熊本グランメッセ) などにも大きな工事を手がけております。
【変更範囲:なし】",273-0122,千葉県鎌ケ谷市東初富4丁目16-16,京成松戸線 鎌ケ谷大仏駅 から 徒歩10分,0,0,6,不問,なし,あり,なし,253000,253000,あり,土日 その他,112,可,令和7年10月1日以降,可,随時,代表取締役,佐野 知孝,サノ トモタカ,047-443-4539,047-443-5963,,"●従業員は20代、30代と若手の人が多いです。マンツーマンで 指導いたします。 ●入察中の食事代はかかりません。2年目以降も同様に無料で食事 ができます。 ●土曜日は休みになっていますが、希望があれば出勤できます。 休日手当 (時間外割増) を支給します。 ●応募前職場体験見学は随時可
●福利厚生として、フィットネスジムの利用·野球観戦券·会員制 ホテルが利用可能です。",●試用期間:なし ●宿舎費用:月3万円 (光熱費込み)  ●駐車場代:無料 ※最低賃金の改定により、賃金額が変更になる場合があります。,078,091,091-07,,,千葉県鎌ケ谷市,,,989-1杯,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-6.pdf,建設・土木・電気工事の職業,建設の職業（建設躯体工事の職業を除く）,内装工,建設/建築/土木に関わる,建築,,,,,,0
2025,33030-513159,倉敷中央公共職業安定所,3303-617388-0,可,オオハラコウギョウ カブシキガイシャ,大原工業 株式会社,712-8052,岡山県倉敷市松江1-14-1 水島臨海鉄道,水島駅 から 徒歩32分,"代表取締役社長
大原 拓治",8260002024575,http://www.oohara-kougyou.jp,8,8,平成18年,"1,000万円",官民を問わず各種設備等の配管を、自社工場での製作から現地にお ける取り付けまでを一貫して行っています。建設工事、メンテナン ス等の需要による出張工事にも全国区で対応しています。,"僅か3名のメンバーで創業してから25年が経ち、現在では上場企
業のお客様からも直接お仕事を頂けるまでに成長して参りました。
まだまだ成長途中、新たなメンバーの力を求めています。",正社員,"配管の製作·取付における製作·技術スタッ
フ(プラント建設業における配管工事)","【日常業務:自社工場】
施工計画の下、製作図に従って配管の材料を組み上げていきます。 常に安全第一を心懸け、品質·納期等の条件のクリアを目指します。 作業中における疑問·改善点を、管理·監督者にフィードバックし 施工計画をヌケ·モレの無い様に、補完していく事も大切な仕事です。 【取付時:現地作業場】
所属する作業班をまとめ、他の作業班に関しても、安全·品質面等において 注意喚起を行いながら、現場作業員内の意識改善を促していきます。 *変更範囲:変更なし",712-8052,岡山県倉敷市松江1-14-1,水島臨海鉄道 水島駅 から 徒歩32分,2,0,1,"普通自動車運転免許  (AT限定可 ·取得見込可) 
必須",なし,あり,なし,200000,200000,あり,土日 その他,120,可,令和7年11月1日以降,可,随時,総務課,山本 真矢,ヤマモト シンヤ,086-441-2284,086-441-2294,yamamoto@oohara-kougyou.jp,"·質の高い人材確保及び活用を図る観点から、 『女性のカ』を積極的に活用するため、女性社員の採用の拡大に 目を向けて職場の改善及び既存社員の意識改革を行っています。 ⇒女子トイレの設置、育児·介護休業規定の制度化 ·当社には性別に関わらず、意欲と能力に応じて 全ての社員一人ひとりが仕事に『誇り』と『やりがい』をもって
活躍できる幅広いフィールドがあります。 ·無料駐車場あり","·入社後は職種に応じて 様々な研修に参加して経験を積んでいただきます。 ·会社と仕事に少しづつ慣れて頂ける様、各種教育、技術的指導 資格取得等のサポートを行っています。 ·賞与は一年に2回と、決算賞与あり。  (会社業績による)  ·育児、介護休暇の取得実績あり。  (家庭と仕事の両立)  ·出張工事あり
 (出張手当:2,000/日、食事手当:1,500/日)  · 入社日:令和8年4月1日 ·試用期間有り (3ヶ月·同条件) ",083,091,091-06,091,091-99,岡山県倉敷市,,,98841杯,,,,,,,,,,,,,2025年10月27日 17:51,2025年10月27日 17:51,PDFアップロード,20251027171511-4.pdf,建設・土木・電気工事の職業,建設の職業（建設躯体工事の職業を除く）,配管工,建設/建築/土木に関わる,建築,建設・土木・電気工事の職業,建設の職業（建設躯体工事の職業を除く）,その他の建設の職業,建設/建築/土木に関わる,建築,0
